a,b,jaccard
z_plus,z_plus,1.0
z_plus,z_plus_renorm,0.0
z_plus,breadth,0.0204081632653061
z_plus,z_mahalanobis_sq,0.0638297872340425
z_plus,t_iut,0.0
z_plus,z_plus_softmax,0.0
z_plus,z_plus_orth,0.0
z_plus_renorm,z_plus,0.0
z_plus_renorm,z_plus_renorm,1.0
z_plus_renorm,breadth,0.0
z_plus_renorm,z_mahalanobis_sq,0.0
z_plus_renorm,t_iut,0.0
z_plus_renorm,z_plus_softmax,1.0
z_plus_renorm,z_plus_orth,0.9230769230769232
breadth,z_plus,0.0204081632653061
breadth,z_plus_renorm,0.0
breadth,breadth,1.0
breadth,z_mahalanobis_sq,0.0
breadth,t_iut,0.0
breadth,z_plus_softmax,0.0
breadth,z_plus_orth,0.0
z_mahalanobis_sq,z_plus,0.0638297872340425
z_mahalanobis_sq,z_plus_renorm,0.0
z_mahalanobis_sq,breadth,0.0
z_mahalanobis_sq,z_mahalanobis_sq,1.0
z_mahalanobis_sq,t_iut,0.0
z_mahalanobis_sq,z_plus_softmax,0.0
z_mahalanobis_sq,z_plus_orth,0.0
t_iut,z_plus,0.0
t_iut,z_plus_renorm,0.0
t_iut,breadth,0.0
t_iut,z_mahalanobis_sq,0.0
t_iut,t_iut,1.0
t_iut,z_plus_softmax,0.0
t_iut,z_plus_orth,0.0
z_plus_softmax,z_plus,0.0
z_plus_softmax,z_plus_renorm,1.0
z_plus_softmax,breadth,0.0
z_plus_softmax,z_mahalanobis_sq,0.0
z_plus_softmax,t_iut,0.0
z_plus_softmax,z_plus_softmax,1.0
z_plus_softmax,z_plus_orth,0.9230769230769232
z_plus_orth,z_plus,0.0
z_plus_orth,z_plus_renorm,0.9230769230769232
z_plus_orth,breadth,0.0
z_plus_orth,z_mahalanobis_sq,0.0
z_plus_orth,t_iut,0.0
z_plus_orth,z_plus_softmax,0.9230769230769232
z_plus_orth,z_plus_orth,1.0
