a,b,jaccard
z_plus,z_plus,1.0
z_plus,z_plus_renorm,0.0050251256281407
z_plus,breadth,0.0362694300518134
z_plus,z_mahalanobis_sq,0.2048192771084337
z_plus,t_iut,0.015228426395939
z_plus,z_plus_softmax,0.0050251256281407
z_plus,z_plus_orth,0.0050251256281407
z_plus_renorm,z_plus,0.0050251256281407
z_plus_renorm,z_plus_renorm,1.0
z_plus_renorm,breadth,0.0
z_plus_renorm,z_mahalanobis_sq,0.0101010101010101
z_plus_renorm,t_iut,0.015228426395939
z_plus_renorm,z_plus_softmax,0.9607843137254902
z_plus_renorm,z_plus_orth,0.9607843137254902
breadth,z_plus,0.0362694300518134
breadth,z_plus_renorm,0.0
breadth,breadth,1.0
breadth,z_mahalanobis_sq,0.015228426395939
breadth,t_iut,0.015228426395939
breadth,z_plus_softmax,0.0
breadth,z_plus_orth,0.0
z_mahalanobis_sq,z_plus,0.2048192771084337
z_mahalanobis_sq,z_plus_renorm,0.0101010101010101
z_mahalanobis_sq,breadth,0.015228426395939
z_mahalanobis_sq,z_mahalanobis_sq,1.0
z_mahalanobis_sq,t_iut,0.0
z_mahalanobis_sq,z_plus_softmax,0.0101010101010101
z_mahalanobis_sq,z_plus_orth,0.0101010101010101
t_iut,z_plus,0.015228426395939
t_iut,z_plus_renorm,0.015228426395939
t_iut,breadth,0.015228426395939
t_iut,z_mahalanobis_sq,0.0
t_iut,t_iut,1.0
t_iut,z_plus_softmax,0.015228426395939
t_iut,z_plus_orth,0.015228426395939
z_plus_softmax,z_plus,0.0050251256281407
z_plus_softmax,z_plus_renorm,0.9607843137254902
z_plus_softmax,breadth,0.0
z_plus_softmax,z_mahalanobis_sq,0.0101010101010101
z_plus_softmax,t_iut,0.015228426395939
z_plus_softmax,z_plus_softmax,1.0
z_plus_softmax,z_plus_orth,1.0
z_plus_orth,z_plus,0.0050251256281407
z_plus_orth,z_plus_renorm,0.9607843137254902
z_plus_orth,breadth,0.0
z_plus_orth,z_mahalanobis_sq,0.0101010101010101
z_plus_orth,t_iut,0.015228426395939
z_plus_orth,z_plus_softmax,1.0
z_plus_orth,z_plus_orth,1.0
